corp_code,한글 종목약명,단축코드
9421310.0,앤디포스,238090
5373370.0,앤씨앤,092600
12077160.0,앱코,129890
9911910.0,앱클론,174900
8753070.0,야스,255440
1396850.0,양지사,030960
5914410.0,어보브반도체,102120
9710900.0,어스앤에어로스페이스,263540
10736780.0,얼라인드,238120
1692150.0,에너토크,019990
12015900.0,에브리봇,270660
2646350.0,에스넷,038680
10996670.0,에스디생명공학,217480
6048150.0,에스디시스템,121890
5746110.0,SDN,099220
12580200.0,에스바이오메딕스,304360
5991510.0,SV인베스트먼트,289080
5678970.0,에스비비테크,389500
1569100.0,SBI인베스트먼트,019550
1718670.0,에스씨디,042110
2607450.0,SCI평가정보,036120
11101820.0,SCL사이언스,246960
11104740.0,에스씨엠생명과학,298060
1209060.0,에스아이리소스,065420
1370120.0,에스앤더블류,103230
5608490.0,에스앤디,260970
4110480.0,에스앤에스텍,101490
5855380.0,에스에너지,095910
12503740.0,에스에스알,275630
10824180.0,SAMG엔터,419530
1286610.0,에스에이엠티,031330
3792290.0,에스에이티,060540
14401530.0,에스에이티이엔지,351320
3582710.0,에스에프에이,056190
3012460.0,SFA반도체,036540
4559810.0,에스엔유,080000
5806670.0,S&K폴리텍,091340
9575680.0,에스엘에너지,214310
11127000.0,에스엘에스바이오,246250
3676040.0,SM Life Design,063440
2609300.0,에스엠,041510
1850460.0,SM C&C,048550
1379150.0,에스엠코어,007820
16864270.0,에스오에스랩,464080
5354810.0,에스와이,109610
11350840.0,에스와이스틸텍,365330
1808650.0,에스유홀딩스,031860
12224320.0,에스제이그룹,306040
1412460.0,SGC E&C,016250
3515790.0,SGA,049470
9883640.0,SGA솔루션즈,184230
2647140.0,SG&G,040610
9639760.0,SG,255220
17447030.0,에스케이증권제10호스팩,457940
17974400.0,에스케이증권제11호스팩,472230
17987220.0,에스케이증권제12호스팩,473000
18018220.0,에스케이증권제13호스팩,473950
16711970.0,에스케이증권제8호스팩,435870
17255770.0,에스케이증권제9호스팩,455910
5732690.0,에스코넥,096630
3067190.0,에스텍,069510
10140550.0,에스트래픽,234300
2983400.0,에스티아이,039440
6121880.0,에스티오,098660
2731100.0,에스티큐브,052020
8718330.0,에스티팜,237690
3402720.0,에스폴리텍,050760
12578720.0,에스퓨얼셀,288620
13813910.0,에스피소프트,443670
6247490.0,에스피시스템스,317830
2206860.0,에스피지,058610
2032090.0,에쎈테크,043340
3569270.0,에이디칩스,054630
6570020.0,에이디테크놀로지,200710
6088390.0,에이루트,096690
12568640.0,에이비엘바이오,298380
9773770.0,에이비온,203400
6205580.0,에이비프로바이오,195990
1400520.0,에이스침대,003800
5569070.0,에이스테크,088800
9752900.0,에이스토리,241840
15385280.0,에이에스텍,453860
12232190.0,에이에프더블류,312610
4933250.0,에이엘티,172670
15404530.0,에이직랜드,445090
10113680.0,에이치브이엠,295310
5239360.0,HB솔루션,297890
3094600.0,HB인베스트먼트,440290
2552750.0,HB테크놀러지,078150
5274640.0,에이치시티,072990
2309110.0,HRS,036640
1992520.0,HLB,028300
11894380.0,HLB바이오스텝,278650
3655900.0,HLB생명과학,067630
3368170.0,HLB제약,047920
5528590.0,HLB테라퓨틱스,115450
1720790.0,HLB파나진,046210
10114380.0,에이치엘사이언스,239610
17674940.0,에이치엠씨제6호스팩,462020
18133770.0,에이치엠씨제7호스팩,477340
8859060.0,에이치와이티씨,148930
2351830.0,에이치케이,044780
10120660.0,HK이노엔,195940
12888270.0,HPSP,403870
10687370.0,에이치피오,357230
14443800.0,에이텀,355690
3848870.0,에이테크솔루션,071670
2565020.0,에이텍,045660
10998610.0,에이텍모빌리티,224110
1614620.0,에이티넘인베스트,021080
6674250.0,에이팩트,200470
6042680.0,에이프로,262260
13758220.0,에이프릴바이오,397030
12038080.0,AP시스템,265520
2960780.0,APS,054620
8748030.0,AP위성,211270
6531940.0,AP헬스케어,109960
11084420.0,에치에프알,230240
10293940.0,에코마케팅,230360
2878120.0,에코바이오,038870
5623600.0,에코볼트,097780
12182990.0,에코아이,448280
6196400.0,에코앤드림,101360
8704810.0,에코캡,128540
5365410.0,에코프로,086520
11603630.0,에코프로비엠,247540
15662480.0,에코프로에이치엔,383310
1391530.0,에코플라스틱,038110
4425610.0,에프알텍,073540
3310160.0,에프앤가이드,064850
10614970.0,FSN,214270
2234340.0,에프에스티,036810
9252950.0,에프엔씨엔터,173940
4760360.0,에프엔에스테크,083500
3605770.0,엑사이엔씨,054940
9560280.0,엑세스바이오,950130
14922170.0,엑셀세라퓨틱스,373110
10420850.0,엑셈,205100
13727820.0,엑스게이트,356680
6830070.0,엑스큐어,070300
12317860.0,엑스페릭스,317770
15146980.0,엑스플러스,373200
4260680.0,엑시온그룹,069920
6117360.0,엑시콘,092870
9645950.0,엔바이오니아,317870
1464360.0,엔브이에이치코리아,067570
10510650.0,엔비티,236810
13107730.0,엔시스,333620
6413930.0,엔시트론,101400
5432040.0,엔에스이엔엠,078860
16195130.0,엔에이치스팩23호,422040
16745380.0,엔에이치스팩24호,437780
16744680.0,엔에이치스팩25호,438580
16752540.0,엔에이치스팩26호,439410
16774290.0,엔에이치스팩27호,440820
17126160.0,엔에이치스팩29호,451700
17850560.0,엔에이치스팩30호,466910
18341940.0,엔에이치스팩31호,481890
6450890.0,NHN벅스,104200
3577400.0,NHN KCP,060250
12178290.0,엔에프씨,265740
3639270.0,NE능률,053290
13979030.0,엔젠바이오,354200
15920490.0,엔젤로보틱스,455900
15870560.0,엔젯,419080
10843640.0,엔지스테크널러지,208860
6068860.0,엔지켐생명과학,183490
9776500.0,엔케이맥스,182400
10115260.0,엔켐,348370
4157070.0,엔텔스,069410
11056210.0,엔투텍,227950
12769010.0,엔피,291230
8766430.0,엔피디,198080
10375420.0,NPX,222160
1084900.0,엔피케이,048830
5405710.0,엘디티,096870
5270110.0,LB루셈,376190
4123480.0,LB세미콘,061970
2319010.0,LB인베스트먼트,309960
11815150.0,엘앤씨바이오,290650
9182220.0,엘앤케이바이오,156100
2257420.0,LS마린솔루션,060370
15281410.0,LS머트리얼즈,417200
3304240.0,LS증권,078020
4942180.0,엘엠에스,073110
4846820.0,엘오티베큠,083310
2427120.0,엘컴텍,037950
9925430.0,LK삼양,225190
8660620.0,엘티씨,170920
17046800.0,M83,476080
3970580.0,엠게임,058630
3969250.0,엠로,058970
1366420.0,엠벤처투자,019590
14971420.0,엠아이큐브솔루션,373170
5318290.0,엠아이텍,179290
1211540.0,엠에스씨,009780
2595450.0,엠에스오토텍,123040
13844770.0,엠에프엠코리아,323230
1108840.0,엠젠솔루션,032790
1216860.0,엠케이전자,033160
6707660.0,엠투아이,347890
1432260.0,엠투엔,033310
8330640.0,엠플러스,259630
7661060.0,엣지파운드리,105550
5321290.0,영림원소프트랩,060850
5696460.0,영우디에스피,143540
1413890.0,영풍정밀,036560
6599760.0,영화테크,265560
2599340.0,예림당,036000
11661090.0,예선테크,250930
3628580.0,예스24,053280
5305560.0,예스티,122640
11694340.0,오가닉티코스메틱,900300
2209690.0,오공,045060
5298150.0,오디텍,080520
1415560.0,오로라,039830
10164790.0,오로스테크놀로지,322310
2979890.0,오르비텍,046120
1416080.0,오리엔탈정공,014940
3004050.0,오리엔트정공,065500
1416710.0,오리콤,010470
14729300.0,오브젠,417860
4945460.0,오비고,352910
2265470.0,오상자이엘,053980
2606570.0,오상헬스케어,036220
3500480.0,오성첨단소재,052420
2636540.0,오스코텍,039200
1751730.0,오스템,031510
14916070.0,오에스피,368970
5714830.0,오이솔루션,138080
5431070.0,오킨스전자,080580
3972890.0,오텍,067170
10842940.0,오토앤,353590
8678490.0,오파스넷,173130
3350760.0,오픈베이스,049480
15711070.0,오픈엣지테크놀로지,394280
13354530.0,오하임앤컴퍼니,309930
10701490.0,올리패스,244460
11137180.0,올릭스,226950
2650050.0,옴니시스템,057540
8314280.0,옵투스제약,131030
3273960.0,옵트론텍,082210
6602910.0,옵티시스,109080
15069900.0,옵티코어,380540
9717260.0,옵티팜,153710
2962630.0,YW,051390
14062650.0,와이랩,432430
12262340.0,와이바이오로직스,338840
3072220.0,YBM넷,057030
7592940.0,와이솔,122990
11095390.0,와이씨,232140
6195070.0,와이씨켐,112290
2501370.0,와이어블,065530
1907560.0,와이엔텍,067900
1408580.0,와이엠,007530
8708610.0,와이엠씨,155650
12156180.0,와이엠텍,273640
6021720.0,와이엠티,251370
3702000.0,와이오엠,066430
12365320.0,와이즈버즈,273060
1397190.0,와이지-원,019210
